Type,Name,Age,Breed1,Breed2,Gender,Color1,Color2,Color3,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,State,RescuerID,VideoAmt,Description,PetID,PhotoAmt,AdoptionSpeed
1,,36,205,0,1,2,5,7,1,2,3,3,3,2,1,0,41326,415eb53de4ea5b33ab4866f3314ca738,0,"He was found lost at SS field. He is playful, friendly & cute. We hope he find a loving & forever home. Please pm me if interested soon as we will be going overseas and need to find a loving home for him soon.",ccdc0f862,4.0,2
1,T2,2,307,307,1,2,0,0,2,2,1,1,2,1,1,0,41326,b53c34474d9e24574bcec6a3d3306a0d,0,For Adoption,91d238a62,1.0,2
2,Wiki,3,266,0,1,4,7,0,2,1,2,2,2,1,1,0,41326,7b107e61f7d24a581e46e0abc4d2a7a7,0,Found this cutie at the Putrajaya Sentral car park Super adorable,69262e404,1.0,2
2,Egg Tart,2,264,0,2,6,7,0,1,3,3,3,3,1,1,0,41401,93dfc7e5d65f9772958c411eb3a8b53f,2,"Little Egg Tart is looking for forever Homes 小蛋挞正在寻找爱它们的粑粑麻麻们哦 Name ：小蛋撻 Egg Tart Age ：兩個月 Almost 2mths Gender ：女Female Color ：白色灰斑，長毛，尾圆如兔子，四肢短小可爱 White + Gray, Long Hair, round ‘Bunny” Tail with short leg Character ：活潑好動，淘氣愛撒嬌的小公主～ Lively & Playful, Little Manja Pricess Adoption fee 领养费 : Free免费 Spaying deposit 结扎押金: RM (fully refundable指定期限内结扎后会全数奉还) A neutering deposit of RM needed for adoption. 领养时必须附上RM结扎押金. Once neutering was done and been proof, the deposit will be fully refund. 指定期限内结扎后，RM押金会全数奉还，为必须出示结扎账单。 Neutering surgery must be done IN /BEFORE June or else it would not be refund. 必须在年6月或之前进行结扎手术，否则结扎押金将不退还. Interested parties, please contact at. Located at Bandar Damansara Perdana Petaling Jaya Selangor",850875906,4.0,1
1,A,1,307,307,1,2,0,0,2,2,1,1,2,1,1,0,41326,b53c34474d9e24574bcec6a3d3306a0d,0,For Adoption,df03e957d,1.0,3
1,Little Blacky,2,307,0,1,1,0,0,2,1,1,1,2,1,1,0,41326,712c65e54720de368ac73b93b3f073a1,0,"Little Blacky is ready to be adopted. He and his siblings were rescued from the streets before falling into the hands of dog catchers. 2 months, male, vaccinated & dewormed.",aa0901313,4.0,2
1,Rocky,2,307,0,1,5,7,0,2,1,2,1,2,1,1,0,41326,eb56700908bde2bca948a76eb4ba47b2,0,Handsome Rocky finding a forever home.,5f235ec16,1.0,1
1,Giant,60,195,0,1,1,7,0,2,1,1,1,1,1,1,0,41325,bcf18ce2daacff40a9a4dac86f741d83,0,Kindly email me for more info,794a45833,1.0,2
1,Florist & Sunshine,4,307,307,3,2,7,0,2,2,1,1,2,1,2,0,41326,3b074cadd2350de62dca7056b9bab6f4,0,"FOR serious adopters only! If you are interested in adopting, kindly contact ==> Call/ SMS to Requirements for Adoption: ========================= All adoptions are subject to an interview and house check. Cost of vaccinations and neutering to be borne by adopter. Vaccinations and neutering/spaying at 6 months of age are COMPULSORY.",694a730b4,12.0,3
2,AJ,18,266,0,1,6,7,0,2,1,2,1,1,1,1,0,41401,f529803bddfac1cacf9be19b32c9a523,0,"This is AJ. He is a very handsome, warm and loving cat but needs some time to get used to people. He loves to play on his own and lull around favorite spots at home. I am looking for someone to take care of AJ because I have too many right now to foster. He is already neutered and easy going. He can easily adapt to living in a house or a large apartment. He can get along well with other cats. He eats dry food and toilet trained. Please call me or e-mail should you want to adopt him.",9edf8fff1,1.0,1
2,Cici,11,266,0,2,1,4,7,2,1,1,1,1,1,1,50,41326,208afca7a9ce199ed9786bd1ed135129,0,"Found her at about 2 months old, have been kept indoor with other 2 cats. Playful yet love to snuggle, litter-trained. Just neutered on 15 Feb. Small adoption fee charged to cover part of medical costs :)",28b64c198,5.0,4
2,,2,283,0,1,1,7,0,1,1,3,3,3,1,1,0,41327,92de4f9552fbe534ed22d5589fe76158,0,We found this ~2months old cat trapped near via pre restaurant . We waited for her parents for quite some time but no cat shows up. I already own too many cats and do not have space for another cat...Please contact me if you're interested to adopt this cat.,770f24682,1.0,4
1,REX,24,307,0,1,1,2,3,2,2,1,1,1,1,1,0,41326,2fc94ec4e8b06c9e429c6970f24c13e8,0,"Rex was an abandoned and we believe abused dog that was rescued by a client from an area close to her workplace. The rescuer had seeked our services in bringing Rex personally to the clinic for treatment and to be boarded. He has been boarded in the clinic since March and is looking for a loving home. Efforts are being made to make this happen for Rex. Rex needs someone who will patiently want to know him for who he is. Rex loves to play fetch and he loves to gnaw on his chew bone. He loves them dental treats too :) A perfect guard dog because this boy is alert at all times, forget tip toeing away because he notices everything! Once he builds his trust in you, you could certainly find a loyal friend in him. His favourite past time is to sit and watch the world go by with you. Honesty is the best policy and these are my thoughts - Boarding is part of the services provided but it isn't the main function. If I'm lucky during my working hours, I could spend up to an hour plus with him but those days are harder to come by. Otherwise its after my working hours / when I'm off / working half day. His walks are only limited to the clinic's back lane and his view of the world is decreasing as months pass by in my opinion. Picture this, put ourselves in his shoes, who likes the same old mundane view and then its back to being caged the rest of the time and the cycle repeats? I get it that the rescuer is financing his stay but one must be realistic. I just don't think its healthy for Rex or any animal per say to be boarded for a long time, and in Rex's case, is he still going to be boarded until the end of the year? Next year? Look into his eyes..tell me you don't see what I see? There is a story there..All he needs is someone who is willing to decode it. His eyes do look sad to me too, its like as though he is crying out and wondering is this what his life is going to be like? Rescuing an animal is one thing but you also have to think about the animal's wellbeing too since he has been here since March! Its not about the money, its about his happiness. Other animals they come and go and Rex? He is just here. Its heartbreaking to see his life at a standstill like this. Just awaiting for someone to adopt him and the wait has extended for months and months. I do feel it a lot since I am the one who has the most contact with him. If I hadn't vigorously started getting the word out about Rex, no one would have really heard about him. The rescuer has never once visited him, nor was there any posters or flyers made on her part to be distributed. The last time she had asked about Rex was ages ago. If human beings could get depression, animals could too. Please introduce yourself by calling / e-mailing / dropping by the clinic if you want to give Rex a chance to be himself again.. Sincerely, Yasmin Kristy's Ark Senior Assistant",32ac38a9f,13.0,3
1,,1,307,0,2,1,2,0,2,2,2,2,2,1,1,20,41326,c2fa42254dcd3b13de7dcf78debff95c,0,"This puppy was found near a garbage dump, rescued by a friend and now staying permanently at my place. It's age is less than one month old, believed to have it's eyes opened few days ago, in a healthy condition. Surprisingly the puppy doesn't have a tail, I'm suspecting that the person who dumped the puppy cut it off or something. The puppy is located in Petaling Jaya, please contact me for more details. (:",5b214efd1,12.0,1
1,Hachi,12,307,0,1,2,3,0,2,1,1,1,2,1,1,0,41326,686eabdb27fc83deee247e27ee9a9e93,0,Calm and nice.,99cbd42dc,5.0,2
1,Blind Friendly & Playful Chihuahua,6,60,0,2,2,7,0,1,1,1,1,2,1,1,0,41327,4a9cb6e373c823566969e4a7cadd7708,0,"Playful Female Chihuahua pup looking for a good home! This super friendly playful Chihuahua pup was born blind. However because she was blind from birth she has no idea that she is blind. She plays just like any other normal dog. She loves people and other pets and is super friendly. She is a very happy and good natured pup. She is looking for a family that will love her and be kind to her. Dog's Name: ""Blinky"" Age: 6 months old Breed: Purebred Chihuahua Coat Type: Short Hair Size: Approx. 1.8kgs. ""Blinky"" is available for viewing in Penang. However, I do travel frequently to KL so I can always bring her down to KL with me FOC. If you would like to provide """"Blinky"" with a new forever home or have further questions, please contact me at. Thanks.",4cdb41608,6.0,2
1,CROISSANT,1,307,0,1,3,0,0,2,1,2,2,2,1,1,0,41326,e71d4784bedd1f7e5163d6bcb4898272,0,Healthy Puppy for adoption. Available for adoption from Mid August onwards.,951352bea,1.0,2
2,Cream Kitten,3,266,0,1,5,0,0,1,1,2,1,2,1,1,0,41327,fd970cc91d06d82eebf046340137b272,0,"3 months old male kitten. Adopters have to vaccinate, neuter and keep kitten indoors. call/whatsapp:/ Address: ONE PETZ 2-1-20 ONE SQUARE, TINGKAT MAHSURI 1, BAYAN LEPAS, PENANG.",4d2dec2f3,4.0,1
1,Squeeshi,2,307,0,2,5,0,0,2,1,1,1,2,1,1,0,41326,95481e953f8aed9ec3d16fc4509537e8,0,"Squeeshi is an active girl who wants to play and run around. She will be good with children. If you wish to adopt her, please call us at. You wont regret it.",139f58538,1.0,1
